,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
1344,2006-10-20,2,1,605,Petr,Zahradníček,Mgr.,,42.0,OSVČ,Loket,560537.0,24.0,24.0,A,1360,5.07,5.07784788858604,0,0,0,0.0,0.0,0,0,"Koalice SNK ED, KONS"
1345,2006-10-20,2,2,53,Pavel,Čáslava,PhDr.,,61.0,ředitel OÚSS,Sokolov,560286.0,53.0,53.0,A,7895,29.47,29.47765373557853,2,0,7368,50.95,50.95083327570707,1,0,Občanská demokratická strana
1346,2006-10-20,2,3,112,Josef,Hora,Ing.,,57.0,starosta města,Chodov,560383.0,112.0,112.0,A,4856,18.13,18.1309039315984,0,0,0,0.0,0.0,0,0,Hnutí nezávislých za harmonický rozvoj obcí a měst
1347,2006-10-20,2,4,88,Štefan,Kanaloš,,,44.0,průvodce v cestovním ruchu,Sokolov,560286.0,99.0,88.0,A,724,2.7,2.70320725833551,0,0,0,0.0,0.0,0,0,NEZÁVISLÍ
1348,2006-10-20,2,5,7,Josef,Novotný,PaedDr.,,53.0,ředitel školy,Sokolov,560286.0,7.0,7.0,A,6628,24.74,24.74704103349139,2,0,7093,49.04,49.04916672429292,0,0,Česká strana sociálně demokratická
1349,2006-10-20,2,6,47,Ladislav,Mrázek,,,53.0,technik,Sokolov,560286.0,47.0,47.0,A,3730,13.92,13.92674457678378,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
1350,2006-10-20,2,7,5,Milan,Gebouský,RNDr.,,48.0,ředitel firmy,Loket,560537.0,5.0,5.0,A,1590,5.93,5.93660157562633,0,0,0,0.0,0.0,0,0,Strana zelených
1351,2006-10-20,2,8,134,Josef,Pelc,MUDr.,,43.0,lékař,Praha,1.0,99.0,134.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,"""Sebeobrana voličů-Váš hlas pro zdravotnictví"""
1352,2006-10-20,5,1,53,Ivana,Řápková,Ing. Mgr.,,40.0,primátorka města Chomutova,Chomutov,562971.0,53.0,53.0,A,8056,26.53,26.53753664723128,2,0,5198,26.61,26.61682625838496,0,0,Občanská demokratická strana
1353,2006-10-20,5,2,102,František,Pěchota,Ing.,,48.0,daňový poradce,Chomutov,562971.0,99.0,102.0,A,478,1.57,1.57459564515597,0,0,0,0.0,0.0,0,0,Unie svobody - Demokratická unie
